1;The Rising Sun - Pink;57; Estás en un desierto y te encuentras con un cubo, ¿qué tamaño tiene?; muy grande; tan grande como yo; muy pequeña;
2;The Rising Sun - Pink;57; Estás en un desierto y te encuentras con un cubo, ¿de qué material está hecho?; metal; madera; vidrio; el plastico
3;The Rising Sun - Pink;57; Estás en un desierto y te encuentras con un cubo, ¿qué posición ocupa?; se coloca en el suelo; esta debajo de la arena; esta en el aire;
4;The Rising Sun - Pink;57; Estás en un desierto y, además de un cubo, ves una escalera, ¿qué tamaño tiene?; es muy alto; es tan grande como yo; es pequeño;
5;The Rising Sun - Pink;57; Estás en un desierto y, además de un cubo, ves una escalera, ¿cómo es?; es de piedra con grandes escalones; es espiral; es una escalera de pintor;
6;The Rising Sun - Pink;57; Estás en un desierto y, además de un cubo, ves una escalera, ¿dónde está?; apoyado en el cubo; encima del cubo;lejos del cubo;
7;The Rising Sun - Pink;57; Estás en un desierto y, además de un cubo y una escalera, aparece un caballo, ¿cómo es?; hermosa y elegante; grande y lleno de energia; pequeño y cansado;
8;The Rising Sun - Pink;57; Estás en un desierto y, además de un cubo y una escalera, aparece un caballo, ¿qué hace?; camina; esta parado; carreras;
9;The Rising Sun - Pink;57; Estás en un desierto y, además de un cubo y una escalera, aparece un caballo, ¿qué posición ocupa?; está lejos del cubo y la escala; es al cubo y a escala; está muy cerca del cubo y la escala;
10;The Rising Sun - Pink;57; Estás en un desierto y, además de ver un cubo, una escalera y un caballo, notas que se acerca una tormenta, ¿a qué distancia está?; esta encima de mi; esta muy lejos; se acerca rapido;
11;The Rising Sun - Pink;57; Estás en un desierto y, además de ver un cubo, una escalera y un caballo, ha llegado una tormenta, ¿cuál de ellos se salva?; caballo; cubo; escalera;
12;The Rising Sun - Pink;57;Estás en un desierto y, además de ver un cubo, una escalera y un caballo, también ves unas flores, ¿cuántas son?; sólo uno; pocos; muchos;
13;The Rising Sun - Pink;57; Estás en un desierto y, además de ver un cubo, una escalera y un caballo, también ves flores, ¿a qué distancia están del cubo?; están muy cerca; estoy por encima del cubo; son distantes;
14;The Rising Sun - Pink;57; Estás en un desierto y, además de ver un cubo, una escalera y un caballo, también ves flores, ¿de qué color son?; verde; rosa; amarillo; rojo
15;The Rising Sun - Pink;57; La ciudad está inundada y entre las casas ves un objeto descendiendo al agua, ¿qué es?; un árbol; un par de zapatos; una bolsa llena de comida;
16;The Rising Sun - Pink;57; Tienes que lavar mucha ropa a mano y tenderla afuera para que se seque, pero ves que el cielo está lleno de nubes oscuras. ¿Qué piensas?; mejor espera, el clima mejorará; el pronostico llama a buen tiempo; es mejor posponer hasta mañana;empiezo igual
17;The Rising Sun - Pink;57; Estás mirando el mar desde tu habitación y te quedas dormido, ¿qué ves al despertar?; el sol empezando a ponerse; es de noche y el mar se sumerge en la oscuridad; hay una ligera niebla; un sol maravilloso
18;The Rising Sun - Pink;57; Dos niños se miran desde una orilla opuesta del río, ¿de qué color es el puente que puede unirlos?; gris; rojo; negro; verde
19;The Rising Sun - Pink;57; Te invitan a tocar como músico en una orquesta profesional, ¿qué instrumento eliges?; violín; contrabajo; trompeta; flauta
20;The Rising Sun - Pink;57; Imagina un cielo azul, ¿cómo es el paisaje que lo rodea?; un paisaje nevado; un mar claro; una montaña llena de vegetación; un campo de flores amarillas
21;The Rising Sun - Pink;57; Ves un león y una leona comiendo grandes trozos de carne, ¿qué te parece?; Tengo miedo; suerte ellos; eso es asqueroso; es su naturaleza
22;The Rising Sun - Orange;56;Plantas 100 semillas de una planta especial en el desierto, ¿cuántas sobreviven?; 1 - 40; 41 - 80; 81 - 98; 99 - 100
23;The Rising Sun - Orange;56; Comienza a llover muy fuerte y estás a 5 minutos del lugar al que debes llegar, ¿cómo reaccionas?; Encuentro un lugar para refugiarme; Estoy buscando una tienda para comprar un paraguas.; Abro el paraguas que siempre llevo conmigo; Corro para llegar lo antes posible
24;The Rising Sun - Orange;56; Haces pompas de jabón en un campo abierto, ¿qué sucede?; flotan en el cielo; salen cientos de burbujas; sale uno enorme; el viento se los lleva
25;The Rising Sun - Orange;56; Estás exhibiendo en un mercado de antigüedades, ¿cómo te va?; todos admiran mis joyas; nadie se detiene; Soy el expositor que más ha vendido;
26;The Rising Sun - Orange;56; Imagina encontrar un huevo y romperlo, ¿qué animal es?; dinosaurio; serpiente; Tortuga; gallina
27;The Rising Sun - Orange;56; Acabas de enfrentarte a un laberinto gigantesco, ¿cómo te sientes?;pensé que no podía salir; por suerte otras personas me ayudaron; fue dificil pero lo logré; fue muy fácil salir
28;The Rising Sun - Orange;56; ¿Qué tipo de luchador serías en un ring?; un luchador dispuesto a todo para ganar; un luchador con una fuerza enorme; luchador que no manifiesta emociones; un luchador muy astuto
29;The Rising Sun - Orange;56; Tienes que decidir la portada de tu nuevo disco de éxito, ¿qué características debe tener?; debe estar mi foto; debe haber un paisaje exótico; debe haber una imagen graciosa; debe haber una imagen abstracta
30;The Rising Sun - Orange;56; Eres policía y acabas de detener a una persona, ¿qué te dice el criminal?; Me rindo, soy culpable; no tienes pruebas, soy inocente; haré que te despidan;
31;The Rising Sun - Orange;56; Mientras caminas por la calle te encuentras con monstruos enojados, ¿por qué lo están?; es su naturaleza; tienen hambre; están buscando a su amado compañero; están decepcionados de la gente
32;The Rising Sun - Orange;56;Estar fascinado por una obra de arte, ¿cuál es la imagen de la pintura?; una caricatura; un diseño abstracto; un autorretrato; un paisaje
33;The Rising Sun - Orange;56; Si pudieras tener un borrador mágico que borrara lo que no te gusta, ¿qué borrarías?; quien; alguien que no me gusta; alguien a quien amé hace años;
34;The Rising Sun - Orange;56; Un hombre se te acerca hasta que miras un cuadro, ¿qué te dice?; ¿Qué hora es?; ¿Te gusta?; soy el artista;
35;The Rising Sun - Orange;56; Un reparador llama a tu puerta, ¿cuál es su trabajo?; hidráulico; electricista; técnico en computación; calderero
36;The Rising Sun - Orange;56; Estás a dieta pero te hace sufrir, ¿por qué lo haces?; complacer a los demás; No estoy satisfecho con mi apariencia física.; complacer a la persona que amo;
37;The Rising Sun - Orange;56; Un perro llama a la puerta y te entrega una carta, ¿qué contiene?; buenas noticias; una factura de electricidad vencida; una multa a pagar;
38;The Rising Sun - Orange;56;Un loro llama a la puerta y te entrega una carta, ¿qué contiene?; buenas noticias; malas noticias; un plazo muy importante;
39;The Rising Sun - Orange;56; Un tigre llama a la puerta y te entrega una carta, ¿qué contiene?; buenas noticias; malas noticias; un objeto misterioso;
40;The Rising Sun - Orange;56; Una oveja llama a la puerta y te entrega una carta, ¿qué contiene?; buenas noticias; malas noticias; una barra de oro;
41;The Rising Sun - Orange;56; Una tortuga llama a la puerta y te entrega una carta, ¿qué contiene?; buenas noticias; malas noticias; un pensamiento de amor;
42;The Rising Sun - Orange;56; Un extraño te entrega un manuscrito antiguo, ¿de qué se trata?; lleva códigos secretos; trae las instrucciones para encontrar un tesoro; antiguas costumbres y tradiciones;
43;Rocket - Red;46; ¿Tiene a menudo la sensación al final del día de que no ha hecho nada?; sí; no; muy a menudo; algunas veces
44;Rocket - Red;46; ¿Te gustan los deportes?; sí; no; suficiente; poco
45;Rocket - Red;46; ¿Te enojas si no obtienes el resultado que te propusiste?; sí; no; suficiente;
46;Rocket - Red;46; ¿Tiene un papel prestigioso?; sí; no; Esperemos;
47;Rocket - Red;46;¿Prefieres un lugar de vacaciones si suele ser frecuentado por algunos VIP?; Seguramente; no, no estoy interesado; me gustaria intentarlo;
48;Rocket - Red;46; ¿Tiendes a posponer las cosas que tienes que hacer?; sí; no; con frecuencia; algunas veces
49;Rocket - Red;46; ¿Tienes envidia de otras personas que logran grandes resultados?; sí; no; algunas veces; casi siempre
50;Rocket - Red;46; ¿Te encantan los coches de lujo?; sí; no; suficiente;
51;Rocket - Red;46; ¿Alguna vez has tenido la sensación de que alguien que vale menos que tú ha obtenido mejores resultados?; sí; no; algunas veces; casi siempre
52;Rocket - Red;46; ¿Te gusta tomar una sauna?; sí; no; nunca lo he intentado;
53;Rocket - Red;46; ¿vas a un gimnasio?; sí; no; Me gustaría;
54;Rocket - Red;46; ¿Prefieres comprar ropa de diseñador?; sí; no; algunas veces; casi siempre
55;Rocket - Red;46; ¿Estarías dispuesto a perder una amistad por una gran oportunidad laboral?; sí; no; quizás;
56;Rocket - Red;46; ¿Trabajas solo para ganar dinero?; seguramente; no; tal vez solo por eso;
57;Rocket - Red;46; ¿Organizas fiestas?; sí; no; poco frecuentemente; muy a menudo
58;Rocket - Red;46; ¿Prefieres vivir en una villa o en un apartamento?; villa; Departamento; Prefiero vivir en una antigua granja;
59;Rocket - Red;46; ¿Para Navidad, dinero o un regalo clásico?; dinero;regalo clásico; ninguno de los dos;
60;Rocket - Red;46; ¿Te gustan los niños?; sí; no; suficiente;
61;Rocket - Purple;45; ¿Te juntas con gente mayor?; sí; no; poco frecuentemente; muy a menudo
62;Rocket - Purple;45; ¿Le quita tiempo a sus seres queridos para trabajar?; sí; no; muy a menudo; algunas veces
63;Rocket - Purple;45; ¿Alguna vez desafías a otro automovilista en la carretera?; sí; no; En algunos casos me pasó;
64;Rocket - Purple;45; ¿Te gusta viajar en tren?; sí; no; suficiente;
65;Rocket - Purple;45; ¿Prefieres un hotel de 5 estrellas o unas vacaciones en una granja?; Hotel 5 estrellas; vacaciones en la granja; ninguno de los dos;
66;Rocket - Purple;45; ¿Es el amor más importante que tu carrera?; sí; no; algunas veces;
