1;The Rising Sun - Pink;57;Sei in un deserto e ti imbatti su un cubo, quanto è grande?;molto grande;grande come me;molto piccolo;
2;The Rising Sun - Pink;57;Sei in un deserto e ti imbatti su un cubo, di che materiale è fatto?;metallo;legno;vetro;plastica
3;The Rising Sun - Pink;57;Sei in un deserto e ti imbatti su un cubo, che posizione occupa?;è appoggiato per terra;è sotto la sabbia;è in aria;
4;The Rising Sun - Pink;57;Sei in un deserto e, oltre a un cubo vedi una scala, quanto è grande ?;è molto alta;è grande come me;è piccola;
5;The Rising Sun - Pink;57;Sei in un deserto e, oltre a un cubo vedi una scala, come è fatta ?;è in pietra con grandi scalini;è a chiocciola;è una scala da imbianchino;
6;The Rising Sun - Pink;57;Sei in un deserto e, oltre a un cubo vedi una scala, dove si trova ?;appoggiata al cubo;sopra il cubo;lontana dal cubo;
7;The Rising Sun - Pink;57;Sei in un deserto e, oltre a un cubo e a una scala, compare un cavallo, com'è?;bello ed elegante;grande e pieno di energia;piccolo e stanco;
8;The Rising Sun - Pink;57;Sei in un deserto e, oltre a un cubo e a una scala, compare un cavallo, cosa fa?;cammina;è fermo;corre;
9;The Rising Sun - Pink;57;Sei in un deserto e, oltre a un cubo e a una scala, compare un cavallo, che posizione occupa?;è lontano dal cubo e dalla scala;è in corrispondenza del cubo e della scala;è vicinissimo al cubo e alla scala;
10;The Rising Sun - Pink;57;Sei in un deserto e, oltre a vedere un cubo, una scala e un cavallo, noti che sta arrivando una tempesta, a che distanza si trova?;è sopra di me;è molto lontana;si avvicina velocemente;
11;The Rising Sun - Pink;57;Sei in un deserto e, oltre a vedere un cubo, una scala e un cavallo, è arrivata una tempesta, chi di loro si salva?;cavallo;cubo;scala;
12;The Rising Sun - Pink;57;Sei in un deserto e, oltre a vedere un cubo, una scala e un cavallo, vedi anche dei fiori, quanti sono?;uno solo;pochi;moltissimi;
13;The Rising Sun - Pink;57;Sei in un deserto e, oltre a vedere un cubo, una scala e un cavallo, vedi anche dei fiori, quanto distano dal cubo?;sono vicinissimi;sono sopra il cubo;sono distanti;
14;The Rising Sun - Pink;57;Sei in un deserto e, oltre a vedere un cubo, una scala e un cavallo, vedi anche dei fiori, di che colore sono?;verde;rosa;giallo;Rosso
15;The Rising Sun - Pink;57;La città è allagata e tra le case vedi un oggetto scendere in mezzo all'acqua, cos'è?;un albero;un paio di scarpe;un sacco pieno di cibo;
16;The Rising Sun - Pink;57;Devi lavare tantissimi vestiti a mano e appenderli fuori ad asciugare, ma vedi che il cielo è pieno di nubi cupe. Cosa pensi?;meglio aspettare, il tempo migliorerà;le previsioni mettono bel tempo;meglio rimandare a domani;inizio lo stesso
17;The Rising Sun - Pink;57;Stai guardando il mare dalla tua stanza e ti addormenti, cosa vedi quando ti svegli?;il sole che comincia a tramontare;è notte e il mare è immerso nell'oscurità;c'è una leggera nebbia;un sole meraviglioso 
18;The Rising Sun - Pink;57;Due bambini si guardano da una sponda opposta del fiume, che colore ha il ponte che li può far incontrare?;grigio;rosso;nero;verde
19;The Rising Sun - Pink;57;Ti invitano a suonare come musicista in un'orchestra di professionisti, che strumento scegli?;violino;contrabbasso;tromba;flauto
20;The Rising Sun - Pink;57;Immagina un cielo blu, com'è il paesaggio circostante?;un paesaggio innevato;un mare limpido;una montagna piena di vegetazione;un campo di fiori gialli
21;The Rising Sun - Pink;57;Vedi un leone e una leonessa che mangiano grossi pezzi di carne, cosa pensi?;ho paura;fortunati loro;è disgustoso;è la loro natura
22;The Rising Sun - Orange;56;Pianti 100 semi di una pianta speciale nel deserto, quanti ne sopravvivono?;1 - 40;41 - 80;81 - 98;99 - 100
23;The Rising Sun - Orange;56;Inizia a piovere molto forte e sei a 5 minuti dal posto che devi raggiungere, come reagisci?;trovo un posto dove ripararmi;cerco un negozio per comprare un ombrello;apro l'ombrello che ho sempre con me;corro per arrivare prima possibile
24;The Rising Sun - Orange;56;Soffi bolle di sapone in un campo aperto, cosa succede?;galleggiano nel cielo;ne escono centinaia;ne esce una enorme;il vento le porta via
25;The Rising Sun - Orange;56;Stai esponendo in un mercatino di oggetti d'antiquariato, come sta andando?;tutti ammirano i miei gioielli;nessuno si ferma;sono l'espositore che ha venduto di più;
26;The Rising Sun - Orange;56;Immagina di trovare un uovo e di romperlo, di che animale è?;dinosauro;serpente;tartaruga;gallina
27;The Rising Sun - Orange;56;Hai appena affrontato un gigantesco labirinto, che sensazioni provi?;pensavo di non riuscire ad uscire;per fortuna altre persone mi hanno aiutato;è stata dura ma ci sono riuscito;era facilissimo uscire
28;The Rising Sun - Orange;56;Che tipo di lottatore saresti su un ring?;un lottatore disposto a tutto pur di vincere;un lottatore con una forza enorme;un lottatore che non manifesta emozioni;un lottatore molto astuto
29;The Rising Sun - Orange;56;Devi decidere la copertina per il tuo nuovo album di successo, che caratteristiche deve avere?;deve esserci la mia foto;deve esserci un paesaggio esotico;deve esserci un'immagine divertente ;deve esserci un'immagine astratta
30;The Rising Sun - Orange;56;Sei un poliziotto e hai appena arrestato una persona, cosa ti dice il criminale?;mi arrendo, sono colpevole;non hai prove, sono innocente;ti farò licenziare;
31;The Rising Sun - Orange;56;Mentre passeggi per strada trovi dei mostri arrabbiati, perché lo sono?;è la loro natura;hanno fame;stanno cercando il loro compagno amato;sono delusi dalle persone
32;The Rising Sun - Orange;56;Rimani affascinato da un'opera d'arte, cos'è l'immagine del quadro?;una caricatura;un disegno astratto;un autoritratto;un paesaggio 
33;The Rising Sun - Orange;56;Se potessi avere una gomma magica che cancella ciò che non ti piace, cosa cancelleresti?;chiunque;una persona che mi sta antipatica;una persona che ho amato anni fa;
34;The Rising Sun - Orange;56;Una persona ti avvicina finché guardi un quadro, cosa ti dice?;che ore sono?;ti piace?;sono io l'artista;
35;The Rising Sun - Orange;56;Un riparatore suona alla tua porta, che lavoro fa?;idraulico ;elettricista ;tecnico di computer;caldaista
36;The Rising Sun - Orange;56;Sei a dieta ma ciò ti fa soffrire, perché lo fai?;per piacere agli altri;non sono soddisfatto del mio aspetto;per piacere alla persona che amo;
37;The Rising Sun - Orange;56;Un cane bussa alla porta e ti consegna una lettera, cosa contiene?;buone notizie;una bolletta della luce scaduta;una multa da pagare;
38;The Rising Sun - Orange;56;Un pappagallo bussa alla porta e ti consegna una lettera, cosa contiene?;buone notizie;brutte notizie;una scadenza importantissima;
39;The Rising Sun - Orange;56;Una tigre bussa alla porta e ti consegna una lettera, cosa contiene?;buone notizie;brutte notizie;un oggetto misterioso;
40;The Rising Sun - Orange;56;Una pecora bussa alla porta e ti consegna una lettera, cosa contiene?;buone notizie;brutte notizie;un lingotto d'oro;
41;The Rising Sun - Orange;56;Una tartaruga bussa alla porta e ti consegna una lettera, cosa contiene?;buone notizie;brutte notizie;un pensiero d'amore;
42;The Rising Sun - Orange;56;Uno sconosciuto ti regala un manoscritto antico, di cosa tratta?;riporta dei codici segreti;riporta le indicazioni per trovare un tesoro;usi e costumi antichi;
43;Rocket - Red;46;Hai spesso la sensazione a fine giornata di non aver fatto nulla?;si;no;molto spesso;qualche volta
44;Rocket - Red;46;Ti piace fare sport?;si;no;abbastanza;non molto
45;Rocket - Red;46;Ti arrabbi se non ottieni il risultato che ti eri prefissato?;si;no;abbastanza;
46;Rocket - Red;46;Ricopri un ruolo di prestigio?;si;no;magari;
47;Rocket - Red;46;Preferisci un luogo di villeggiatura se è frequentato abitualmente da alcuni Vip?;certamente;no, non mi interessa;mi piacerebbe provare;
48;Rocket - Red;46;Tendi a rimandare le cose che hai da fare?;si;no;spesso;a volte
49;Rocket - Red;46;Sei invidioso delle altre persone che ottengono grandi risultati ?;si;no;a volte;quasi sempre
50;Rocket - Red;46;Ami le macchine di lusso?;si;no;abbastanza;
51;Rocket - Red;46;Hai mai la sensazione che una persona che vale meno di te ha ottenuto risultati migliori ?;si;no;a volte;quasi sempre
52;Rocket - Red;46;Ti piace fare la sauna?;si;no;non ho mai provato;
53;Rocket - Red;46;Frequenti una palestra?;si;no ;mi piacerebbe;
54;Rocket - Red;46;Preferisci comprare abiti firmati?;si;no ;a volte;quasi sempre
55;Rocket - Red;46;Saresti disposto a perdere un’amicizia per una grande opportunità lavorativa?;si;no ;forse;
56;Rocket - Red;46;Lavori solo per guadagnare?;certamente;no ;forse solo per quello;
57;Rocket - Red;46;Organizzi delle feste?;si;no ;raramente;molto spesso
58;Rocket - Red;46;Preferiresti vivere in una villa o in un appartamento?;villa;appartamento;preferirei vivere in un vecchio casale;
59;Rocket - Red;46;Per Natale soldi o classico regalo?;soldi;classico regalo;nessuno dei due;
60;Rocket - Red;46;Ti piacciono i bambini?;si;no;abbastanza;
61;Rocket - Purple;45;Frequenti persone anziane?;si;no ;raramente;molto spesso
62;Rocket - Purple;45;Per il lavoro togli tempo ai tuoi affetti?;si;no ;molto spesso;qualche volta
63;Rocket - Purple;45;Per strada ti capita mai di sfidare un altro automobilista?;si;no ;mi è successo;
64;Rocket - Purple;45;Ti piace viaggiare in treno?;si;no;abbastanza;
65;Rocket - Purple;45;Preferisci un hotel 5 stelle o un agriturismo?;hotel 5 stelle;agriturismo;nessuno dei due;
66;Rocket - Purple;45;L'amore è più importante della tua carriera?;si;no;qualche volta;
67;Rocket - Purple;45;Preferiresti essere nato ricco con una vita noiosa o povero con una vita entusiasmante?;ricco;povero;non lo so;
68;Rocket - Purple;45;Preferiresti una vacanza in barca a vela, su un motoscafo o su una piccola barca a remi?;barca a vela;motoscafo;barca a remi;
69;Rocket - Purple;45;Raggiunto il successo, cosa faresti?;penserei al prossimo obiettivo;penserei ad aiutare gli altri;non farei più nulla;
70;Rocket - Purple;45;Quale tra questi sport sceglieresti?;baseball;nuoto;scherma;
71;Rocket - Purple;45;Preferisci vivere in:;campagna;montagna;metropoli;
